ro;komponen;kegiatan;mak;detail;modal;week;`1`;`2`;`3`;`4`;`5`;`6`;`7`;`8`;`9`;`10`;`11`;`12`
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Pelaporan;RM;1;;;;;;;;;;;;309000
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Pelaporan;RM;2;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Pelaporan;RM;3;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Pelaporan;RM;4;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Makan Siang Pertemuan Pembahasan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Makan Siang Pertemuan Pembahasan;RM;2;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Makan Siang Pertemuan Pembahasan;RM;3;;846000;;846000;846000;846000;846000;846000;846000;846000;846000;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Makan Siang Pertemuan Pembahasan;RM;4;;;;;846000;846000;846000;846000;;846000;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Snack Pertemuan Pembahasan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Snack Pertemuan Pembahasan;RM;2;;;;;;;;;;396000;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Snack Pertemuan Pembahasan;RM;3;;396000;;396000;396000;396000;396000;396000;;396000;396000;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;521211 - Belanja Bahan;Snack Pertemuan Pembahasan;RM;4;;;;;396000;396000;396000;396000;;792000;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;2;;;;;;;;;;18000000;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;3;;;;;9000000;;;9000000;;18000000;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;4;;;;9000000;9000000;;9000000;;9000000;9000000;9000000;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday;RM;2;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday;RM;3;;;;;;;;;;;;
4130.ABG;4130.ABG.001.051;051.A - Pelayanan Analisis dan Evaluasi Standar Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday;RM;4;;;;21300000;;;;;;21300000;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Penggandaan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Penggandaan;RM;2;;;;;;;;;;;;425000
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Penggandaan;RM;3;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Penggandaan;RM;4;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Makan Siang Pertemuan Pembahasan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Makan Siang Pertemuan Pembahasan;RM;2;;;;;;;;;;940000;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Makan Siang Pertemuan Pembahasan;RM;3;;;940000;940000;940000;;1880000;;;940000;940000;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Makan Siang Pertemuan Pembahasan;RM;4;;;;;;;940000;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Snack Pertemuan Pembahasan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Snack Pertemuan Pembahasan;RM;2;;;;;;;;;;440000;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Snack Pertemuan Pembahasan;RM;3;;;440000;440000;440000;;440000;440000;;440000;440000;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;521211 - Belanja Bahan;Snack Pertemuan Pembahasan;RM;4;;;;;440000;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;2;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;3;;;9000000;9000000;9000000;;;;;9000000;9000000;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;4;;9000000;;9000000;;9000000;9000000;;;9000000;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday;RM;2;;;;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday;RM;3;;;22155000;;;;;;;;;
4130.ABG;4130.ABG.001.052;052.A - Pelayanan Analisis dan Evaluasi Standardisasi Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday;RM;4;;;;;;;;;;;;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;521211 - Belanja Bahan;Pelaporan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;521211 - Belanja Bahan;Pelaporan;RM;2;;;;;;;;;;;;148000
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;521211 - Belanja Bahan;Pelaporan;RM;3;;;;;;;;;;;;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;521211 - Belanja Bahan;Pelaporan;RM;4;;;;;;;;;;;;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;521211 - Belanja Bahan;Makan Siang dan Snack;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;521211 - Belanja Bahan;Makan Siang dan Snack;RM;2;;;1380000;1380000;;;1380000;;;2760000;1380000;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;521211 - Belanja Bahan;Makan Siang dan Snack;RM;3;;;;;1380000;;1380000;;;1380000;1380000;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;521211 - Belanja Bahan;Makan Siang dan Snack;RM;4;;;;;;;;;;2760000;1380000;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;1;;;;;;;;;;;;
4130.ABG;4130.ABG.001.053;053.A - Pelayanan Analisis dan Evaluasi Standardisasi Pangan Olahan Tertentu;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;2;;;8000000;8000000;;8000000;8000000;8000000;16000000;;24000000;
